Instance,Problematic,TYPE,PATH,Line
FUNCTION TYPE public void NAME public NAME void NAME to source PARAMETER LIST string builder sb PARAMETER string builder sb TYPE string builder NAME string builder NAME sb BLOCK public NN void NN to TO source NN root ROOT source case source to string NN builder NN root ROOT builder compound builder string sb NN,1,B5,ArgoUML0.34/argouml-csharp/src/org/argouml/language/csharp/importer/csparser/statements/ForEachStatement.java,22
DECL STMT SPECIFIER protected TYPE list token NAME list token NAME list ARGUMENT LIST ARGUMENT NAME token NAME result protected VBN list NN token JJ result NN,1,D1,ArgoUML0.34/argouml-java/src/org/argouml/language/java/reveng/classfile/ParserUtils.java,931
DECL STMT SPECIFIER private TYPE string NAME string NAME instructions INIT translator localize critics wiz me name ins EXPR translator localize critics wiz me name ins CALL translator localize critics wiz me name ins NAME translator localize NAME translator NAME localize ARGUMENT LIST ARGUMENT EXPR critics wiz me name ins private JJ string NN instructions NNS translator NN localize VBP root ROOT localize nsubj localize translator critics NNS wiz VBP me PRP name VB ins NNS root ROOT wiz nsubj wiz critics nsubj name me ccomp wiz name dobj name ins,1,E1,ArgoUML0.34/argouml/src/argouml-app/src/org/argouml/uml/cognitive/critics/WizMEName.java,57
COMMENT the list of boolean property getter setters DECL STMT SPECIFIER protected TYPE final map string getter setter SPECIFIER final NAME map string getter setter NAME map ARGUMENT LIST ARGUMENT NAME string ARGUMENT NAME getter setter NAME getter setter by property name INIT new hash map string getter setter EXPR new hash map string getter setter CALL hash map string getter setter NAME hash map string getter setter NAME hash map ARGUMENT LIST ARGUMENT NAME string ARGUMENT NAME getter setter ARGUMENT LIST the list of boolean property getter setters root ROOT list det list the case setters of amod setters boolean compound setters property compound setters getter nmod of list setters protected VBN final JJ map NN string NN getter RB setter NN root ROOT setter advmod setter getter getter RB setter NN by IN property NN name NN root ROOT setter advmod setter getter case name by compound name property nmod by setter name new JJ hash VB map NN root ROOT hash dobj hash map string NN getter RB setter NN root ROOT setter advmod setter getter,1,D1,ArgoUML0.34/argouml/src/argouml-core-umlpropertypanels/src/org/argouml/core/propertypanels/model/GetterSetterManager.java,32
COMMENT these strings match the xml element names in the argo tee exactly DECL STMT SPECIFIER private SPECIFIER static TYPE final string SPECIFIER final NAME string NAME string showboldnames INIT showboldnames EXPR showboldnames these strings match the xml element names in the argo tee exactly root ROOT match det strings these nsubj match strings det names the compound names xml compound names element dobj match names case tee in det tee the compound tee argo nmod in names tee advmod match exactly these strings match the xml element names in the argo tee exactly root ROOT match det strings these nsubj match strings det names the compound names xml compound names element dobj match names case tee in det tee the compound tee argo nmod in names tee advmod match exactly private JJ static JJ final JJ string NN string NN showboldnames NNS root ROOT showboldnames compound showboldnames string showboldnames NNS,0,N/A,ArgoUML0.34/argouml/src/argouml-app/src/org/argouml/persistence/ArgoTokenTable.java,72
COMMENT p a helper method to make link get all contents object as efficient as possible this is called recursively p p param results a collection that will be populated with model elements param pack the namespace to get the contents from param dup check a collection of model elements that have already been checked on a previous recursive call checking this saves duplicating effort on already processed elements FUNCTION TYPE void NAME void NAME get all contents PARAMETER LIST final collection model element results final model element pack final collection model element dup check PARAMETER final collection model element results TYPE final collection model element SPECIFIER final NAME collection model element NAME collection ARGUMENT LIST ARGUMENT NAME model element NAME results PARAMETER final model element pack TYPE final model element SPECIFIER final NAME model element NAME pack PARAMETER final collection model element dup check TYPE final collection model element SPECIFIER final NAME collection model element NAME collection ARGUMENT LIST ARGUMENT NAME model element NAME dup check BLOCK IF if pack null dup check contains pack return CONDITION pack null dup check contains pack EXPR pack null dup check contains pack NAME pack CALL dup check contains pack NAME dup check contains NAME dup check NAME contains ARGUMENT LIST ARGUMENT EXPR pack NAME pack THEN return BLOCK RETURN return EXPR dup check add pack CALL dup check add pack NAME dup check add NAME dup check NAME add ARGUMENT LIST ARGUMENT EXPR pack NAME pack TRY try for a namespace pre the operation all contents results in a set containing all model elements contained by the namespace all contents set model element all contents self contents where contents self owned element union self namespace contents pre p if pack instanceof namespace get contents results pack for a classifier pre the operation all contents returns a set containing all model elements contained in the classifier together with the contents inherited from its parents all contents set model element all contents self contents union self parent all contents select e e element ownership visibility public or e element ownership visibility protected where parent is defined for generalizable element as the operation parent returns a set containing all direct parents parent set generalizable element parent self generalization parent pre p for a package pre the operation all contents results in a set containing the model elements owned by or imported by the package or one of its ancestors all contents set model element all contents self contents union self parent all contents select e e element ownership visibility public or e element ownership visibility protected where the required operations are defined as the operation contents results in a set containing the model elements owned by or imported by the package contents set model element contents self owned element union self imported element the operation all imported elements results in a set containing the model elements imported by the package or one of its parents all imported elements set model element all imported elements self imported element union self parent ocl as type package all imported elements select re re element import visibility public or re element import visibility protected pre if pack instanceof classifier pack instanceof uml package collection generalizable element parents core helper mdr impl get parents generalizable element pack todo try reusing the same set on every recursion set model element all contents new hash set model element for generalizable element parent parents get all contents all contents parent dup check if pack instanceof uml package get all imported elements all contents pack for generalizable element parent parents get all imported elements all contents parent for model element element all contents if visibility kind enum vk public equals element get visibility visibility kind enum vk protected equals element get visibility results add element for a collaboration pre the operation all contents results in the set of all model elements contained in the collaboration together with those contained in the parents except those that have been specialized all contents set model element all contents self contents union self parent all contents reject e self contents name include e name parent here is the generalizable element definition pre if pack instanceof collaboration todo not implemented log debug not implemented get all contents for pack catch invalid object exception e throw new invalid element exception e BLOCK COMMENT for a namespace pre the operation all contents results in a set containing all model elements contained by the namespace all contents set model element all contents self contents where contents self owned element union self namespace contents pre p IF if pack instanceof namespace get contents results pack CONDITION pack instanceof namespace EXPR pack instanceof namespace NAME pack NAME namespace THEN get contents results pack BLOCK EXPR get contents results pack CALL get contents results pack NAME get contents ARGUMENT LIST ARGUMENT EXPR results NAME results ARGUMENT EXPR pack NAME pack COMMENT for a classifier pre the operation all contents returns a set containing all model elements contained in the classifier together with the contents inherited from its parents all contents set model element all contents self contents union self parent all contents select e e element ownership visibility public or e element ownership visibility protected where parent is defined for generalizable element as the operation parent returns a set containing all direct parents parent set generalizable element parent self generalization parent pre p COMMENT for a package pre the operation all contents results in a set containing the model elements owned by or imported by the package or one of its ancestors all contents set model element all contents self contents union self parent all contents select e e element ownership visibility public or e element ownership visibility protected where the required operations are defined as the operation contents results in a set containing the model elements owned by or imported by the package contents set model element contents self owned element union self imported element the operation all imported elements results in a set containing the model elements imported by the package or one of its parents all imported elements set model element all imported elements self imported element union self parent ocl as type package all imported elements select re re element import visibility public or re element import visibility protected pre IF if pack instanceof classifier pack instanceof uml package collection generalizable element parents core helper mdr impl get parents generalizable element pack todo try reusing the same set on every recursion set model element all contents new hash set model element for generalizable element parent parents get all contents all contents parent dup check if pack instanceof uml package get all imported elements all contents pack for generalizable element parent parents get all imported elements all contents parent for model element element all contents if visibility kind enum vk public equals element get visibility visibility kind enum vk protected equals element get visibility results add element CONDITION pack instanceof classifier pack instanceof uml package EXPR pack instanceof classifier pack instanceof uml package NAME pack NAME classifier NAME pack NAME uml package THEN collection generalizable element parents core helper mdr impl get parents generalizable element pack todo try reusing the same set on every recursion set model element all contents new hash set model element for generalizable element parent parents get all contents all contents parent dup check if pack instanceof uml package get all imported elements all contents pack for generalizable element parent parents get all imported elements all contents parent for model element element all contents if visibility kind enum vk public equals element get visibility visibility kind enum vk protected equals element get visibility results add element BLOCK DECL STMT TYPE collection generalizable element NAME collection generalizable element NAME collection ARGUMENT LIST ARGUMENT NAME generalizable element NAME parents INIT core helper mdr impl get parents generalizable element pack EXPR core helper mdr impl get parents generalizable element pack CALL core helper mdr impl get parents generalizable element pack NAME core helper mdr impl get parents NAME core helper mdr impl NAME get parents ARGUMENT LIST ARGUMENT EXPR generalizable element pack NAME generalizable element NAME pack COMMENT todo try reusing the same set on every recursion DECL STMT TYPE set model element NAME set model element NAME set ARGUMENT LIST ARGUMENT NAME model element NAME all contents INIT new hash set model element EXPR new hash set model element CALL hash set model element NAME hash set model element NAME hash set ARGUMENT LIST ARGUMENT NAME model element ARGUMENT LIST ARGUMENT EXPR FOR for generalizable element parent parents get all contents all contents parent dup check CONTROL generalizable element parent parents INIT generalizable element parent parents TYPE generalizable element NAME generalizable element NAME parent RANGE parents EXPR parents NAME parents BLOCK EXPR get all contents all contents parent dup check CALL get all contents all contents parent dup check NAME get all contents ARGUMENT LIST ARGUMENT EXPR all contents NAME all contents ARGUMENT EXPR parent NAME parent ARGUMENT EXPR dup check NAME dup check IF if pack instanceof uml package get all imported elements all contents pack for generalizable element parent parents get all imported elements all contents parent CONDITION pack instanceof uml package EXPR pack instanceof uml package NAME pack NAME uml package THEN get all imported elements all contents pack for generalizable element parent parents get all imported elements all contents parent BLOCK EXPR get all imported elements all contents pack CALL get all imported elements all contents pack NAME get all imported elements ARGUMENT LIST ARGUMENT EXPR all contents NAME all contents ARGUMENT EXPR pack NAME pack FOR for generalizable element parent parents get all imported elements all contents parent CONTROL generalizable element parent parents INIT generalizable element parent parents TYPE generalizable element NAME generalizable element NAME parent RANGE parents EXPR parents NAME parents BLOCK EXPR get all imported elements all contents parent CALL get all imported elements all contents parent NAME get all imported elements ARGUMENT LIST ARGUMENT EXPR all contents NAME all contents ARGUMENT EXPR parent NAME parent FOR for model element element all contents if visibility kind enum vk public equals element get visibility visibility kind enum vk protected equals element get visibility results add element CONTROL model element element all contents INIT model element element all contents TYPE model element NAME model element NAME element RANGE all contents EXPR all contents NAME all contents BLOCK IF if visibility kind enum vk public equals element get visibility visibility kind enum vk protected equals element get visibility results add element CONDITION visibility kind enum vk public equals element get visibility visibility kind enum vk protected equals element get visibility EXPR visibility kind enum vk public equals element get visibility visibility kind enum vk protected equals element get visibility CALL visibility kind enum vk public equals element get visibility NAME visibility kind enum vk public equals NAME visibility kind enum NAME vk public NAME equals ARGUMENT LIST ARGUMENT EXPR element get visibility CALL element get visibility NAME element get visibility NAME element NAME get visibility ARGUMENT LIST CALL visibility kind enum vk protected equals element get visibility NAME visibility kind enum vk protected equals NAME visibility kind enum NAME vk protected NAME equals ARGUMENT LIST ARGUMENT EXPR element get visibility CALL element get visibility NAME element get visibility NAME element NAME get visibility ARGUMENT LIST THEN results add element BLOCK EXPR results add element CALL results add element NAME results add NAME results NAME add ARGUMENT LIST ARGUMENT EXPR element NAME element COMMENT for a collaboration pre the operation all contents results in the set of all model elements contained in the collaboration together with those contained in the parents except those that have been specialized all contents set model element all contents self contents union self parent all contents reject e self contents name include e name parent here is the generalizable element definition pre IF if pack instanceof collaboration todo not implemented log debug not implemented get all contents for pack CONDITION pack instanceof collaboration EXPR pack instanceof collaboration NAME pack NAME collaboration THEN todo not implemented log debug not implemented get all contents for pack BLOCK COMMENT todo not implemented EXPR log debug not implemented get all contents for pack CALL log debug not implemented get all contents for pack NAME log debug NAME log NAME debug ARGUMENT LIST ARGUMENT EXPR not implemented get all contents for pack NAME pack CATCH catch invalid object exception e throw new invalid element exception e PARAMETER LIST invalid object exception e PARAMETER invalid object exception e TYPE invalid object exception NAME invalid object exception NAME e BLOCK THROW throw new invalid element exception e EXPR new invalid element exception e CALL invalid element exception e NAME invalid element exception ARGUMENT LIST ARGUMENT EXPR e NAME e p a helper method to make link get all contents object as efficient root ROOT p det method a compound method helper dep p method mark make to acl to method make nsubj get link ccomp make get det contents all nsubj object contents ccomp get object case efficient as advcl as object efficient as possible this is called recursively p root ROOT called case possible as advcl as called possible nsubjpass called this auxpass called is advmod p recursively xcomp called p as possible this is called recursively p root ROOT called case possible as advcl as called possible nsubjpass called this auxpass called is advmod p recursively xcomp called p as possible this is called recursively p root ROOT called case possible as advcl as called possible nsubjpass called this auxpass called is advmod p recursively xcomp called p p param results a collection that will be populated with model elements root ROOT results nsubj results param det collection a dobj results collection nsubjpass populated collection ref collection that aux populated will auxpass populated be acl relcl collection populated case elements with compound elements model nmod with populated elements param pack the namespace to get the contents from root ROOT pack compound pack param det namespace the dobj pack namespace mark get to acl to namespace get det contents the dobj get contents dep get from param dup check a collection of model elements that have already been root ROOT check compound dup param nsubj check dup det collection a dobj check collection case elements of compound elements model nmod of collection elements nsubj been elements ref elements that aux been have advmod been already acl relcl elements been checked on a previous recursive call checking this saves duplicating root ROOT saves nsubj saves checked case call on det call a amod call previous amod call recursive nmod on checked call acl call checking dobj checking this xcomp saves duplicating checked on a previous recursive call checking this saves duplicating root ROOT saves nsubj saves checked case call on det call a amod call previous amod call recursive nmod on checked call acl call checking dobj checking this xcomp saves duplicating effort on already processed elements root ROOT effort case elements on advmod processed already amod elements processed nmod on effort elements void NN get VB all DT contents NNS root ROOT get det contents all dobj get contents final JJ collection NN model NN element NN root ROOT element compound element model results NNS final JJ model NN element NN root ROOT element compound element model pack NN final JJ collection NN model NN element NN root ROOT element compound element model dup NN check NN root ROOT check compound check dup if IN pack NN null JJ dup NN check NN contains VBZ root ROOT contains compound check dup nsubj contains check pack NN return NN dup NN check NN add VBP root ROOT add compound check dup nsubj add check pack NN try VB for a namespace root ROOT namespace case namespace for det namespace a pre the operation all contents results in a set containing root ROOT operation det operation the det contents all nsubj results contents acl relcl operation results case set in det set a nmod in results set acl set containing all model elements contained by the namespace root ROOT elements det elements all compound elements model acl elements contained case namespace by det namespace the nmod by contained namespace all contents set model element root ROOT set det contents all nsubj set contents compound element model dobj set element all contents self contents root ROOT contents det contents all compound contents contents compound contents self where contents self owned element union self namespace contents root ROOT contents nsubj owned self acl relcl contents owned compound contents element compound contents union compound contents self compound contents namespace dobj owned contents pre p root ROOT p amod p pre if IN pack NN instanceof NN namespace NN get VB contents NNS root ROOT get dobj get contents results NNS pack NN for a classifier root ROOT classifier case classifier for det classifier a pre the operation all contents returns a set containing root ROOT operation det operation the det contents all nsubj returns contents acl relcl operation returns det set a dobj returns set acl set containing all model elements contained in the classifier together root ROOT contained det elements all compound elements model nsubj contained elements case classifier in det classifier the nmod in contained classifier advmod contained together with the contents inherited from its parents root ROOT contents case contents with det contents the acl contents inherited case parents from nmod poss parents its nmod from inherited parents all contents set model element root ROOT set det contents all nsubj set contents compound element model dobj set element all contents self contents union root ROOT contents det contents all compound union self compound union contents dep contents union self parent all contents select e root ROOT parent compound parent self det contents all nsubj select contents dep parent select punct select e e element ownership visibility public or root ROOT e compound public element compound public ownership compound public visibility root e public cc public or e element ownership visibility protected root ROOT protected dep protected e compound visibility element compound visibility ownership nsubj protected visibility where parent is defined for generalizable element as root ROOT defined advmod defined where nsubjpass defined parent auxpass defined is case element for amod element generalizable nmod for defined element dep defined as the operation parent returns a set containing all direct root ROOT returns det parent the compound parent operation nsubj returns parent det set a dobj returns set acl set containing dep direct all dobj containing direct parents parent set generalizable element root ROOT set nsubj set parent amod element generalizable dobj set element parent self generalization parent root ROOT parent compound parent parent compound parent self compound parent generalization pre p root ROOT p amod p pre for a package root ROOT package case package for det package a pre the operation all contents results in a set containing root ROOT operation det operation the det contents all nsubj results contents acl relcl operation results case set in det set a nmod in results set acl set containing the model elements owned by or imported root ROOT elements det elements the compound elements model acl elements owned dep owned by cc by or dep owned imported conj or by imported by the package or one of its ancestors root ROOT package case package by det package the cc package or conj or package one case ancestors of nmod poss ancestors its nmod of one ancestors all contents set model element root ROOT set det contents all nsubj set contents compound element model dobj set element all contents self contents union root ROOT contents det contents all compound union self compound union contents dep contents union self parent all contents select e root ROOT parent compound parent self det contents all nsubj select contents dep parent select punct select e e element ownership visibility public or root ROOT e compound public element compound public ownership compound public visibility root e public cc public or e element ownership visibility protected root ROOT protected dep protected e compound visibility element compound visibility ownership nsubj protected visibility where the required operations are defined as root ROOT defined advmod defined where det operations the amod operations required nsubjpass defined operations auxpass defined are dep defined as the operation contents results in a set containing the root ROOT results det contents the compound contents operation nsubj results contents case set in det set a nmod in results set acl set containing dobj containing the model elements owned by or imported by the package root ROOT elements compound elements model acl elements owned acl elements owned conj or owned owned case package by cc by or conj or by imported case package by det package the nmod by owned package nmod imported owned package contents set model element root ROOT set nsubj set contents compound element model dobj set element contents self owned element union self imported element root ROOT contents nsubj owned self acl relcl contents owned compound element element compound element union compound element self amod element imported dobj owned element the operation all imported elements results in a set containing root ROOT operation det operation the det elements all amod elements imported nsubj results elements acl relcl operation results case set in det set a nmod in results set acl set containing the model elements imported by the package or one of its parents root ROOT elements det elements the compound elements model acl elements imported case package by det package the nmod by imported package cc package or nmod by imported one conj or package one case parents of nmod poss parents its nmod of one parents all imported elements set model element root ROOT set det elements all amod elements imported nsubj set elements compound element model dobj set element all imported elements self imported element union root ROOT elements det elements all amod elements imported compound union self amod union imported compound union element dep elements union self parent ocl as type package all imported elements select root ROOT select compound ocl self compound ocl parent dobj select ocl case package as compound package type nmod as ocl package det elements all amod elements imported nsubj select elements self parent ocl as type package all imported elements select root ROOT select compound ocl self compound ocl parent dobj select ocl case package as compound package type nmod as ocl package det elements all amod elements imported nsubj select elements re re element import visibility public or root ROOT re compound public re compound public element compound public import compound public visibility dobj re public cc re or re element import visibility protected root ROOT protected compound visibility re compound visibility element compound visibility import nsubj protected visibility pre if IN pack NN instanceof NN classifier NN pack NN instanceof NN uml NN package NN root ROOT package compound package uml collection NN generalizable JJ element NN root ROOT element amod element generalizable parents NNS core NN helper NN mdr NN impl NN get VB parents NNS root ROOT get compound impl core compound impl helper compound impl mdr nsubj get impl dobj get parents generalizable JJ element NN root ROOT element amod element generalizable pack NN todo try reusing the same set on every recursion root ROOT try nsubj try todo xcomp try reusing det set the amod set same dobj reusing set case recursion on det recursion every nmod on set recursion set NN model NN element NN root ROOT element compound element model all DT contents NNS root ROOT contents det contents all new JJ hash JJ set NN root ROOT set amod set hash model NN element NN root ROOT element compound element model for IN generalizable JJ element NN root ROOT element amod element generalizable parent NN parents NNS get VB all DT contents NNS root ROOT get det contents all dobj get contents all DT contents NNS root ROOT contents det contents all parent NN dup NN check NN root ROOT check compound check dup if IN pack NN instanceof NN uml NN package NN root ROOT package compound package uml get VB all DT imported VBN elements NNS root ROOT get det elements all amod elements imported dobj get elements all DT contents NNS root ROOT contents det contents all pack NN for IN generalizable JJ element NN root ROOT element amod element generalizable parent NN parents NNS get VB all DT imported VBN elements NNS root ROOT get det elements all amod elements imported dobj get elements all DT contents NNS root ROOT contents det contents all parent NN for IN model NN element NN root ROOT element compound element model element NN all DT contents NNS root ROOT contents det contents all if IN visibility NN kind NN enum NN vk NN root ROOT vk compound vk visibility compound vk kind compound vk enum public JJ equals VBZ element NN get VB visibility NN root ROOT get dobj get visibility visibility NN kind NN enum NN vk NN root ROOT vk compound vk visibility compound vk kind compound vk enum protected JJ equals VBZ element NN get VB visibility NN root ROOT get dobj get visibility results NNS add VBP root ROOT add nsubj add results element NN for a collaboration root ROOT collaboration case collaboration for det collaboration a pre the operation all contents results in the set of root ROOT operation det operation the det contents all nsubj results contents acl relcl operation results case set in det set the nmod in results set dep set of all model elements contained in the collaboration root ROOT contained det elements all compound elements model nsubj contained elements case collaboration in det collaboration the nmod in contained collaboration together with those contained in the parents root ROOT those case those together mwe together with acl those contained case parents in det parents the nmod in contained parents except those that have been specialized root ROOT those case those except nsubjpass specialized those ref those that aux specialized have auxpass specialized been acl relcl those specialized all contents set model element root ROOT set det contents all nsubj set contents compound element model dobj set element all contents self contents union root ROOT contents det contents all compound union self compound union contents dep contents union self parent all contents reject e root ROOT parent compound parent self det contents all nsubj reject contents acl relcl parent reject punct reject e self contents name include e name root ROOT include compound name self compound name contents nsubj include name nmod poss name e dobj include name parent here is the generalizable element definition root ROOT definition nsubj definition parent advmod parent here cop definition is det definition the amod definition generalizable compound definition element pre if IN pack NN instanceof NN collaboration NN todo not implemented root ROOT implemented nsubj implemented todo neg implemented not log NN debug NN root ROOT debug compound debug log not RB implemented VBN get VB all DT contents NNS root ROOT get det contents all dobj get contents for IN pack NN catch NN invalid JJ object NN exception NN root ROOT exception amod exception invalid compound exception object e SYM throw VB new JJ invalid JJ element NN exception NN root ROOT exception amod exception invalid compound exception element e SYM,1,B3,ArgoUML0.34/argouml/src/argouml-core-model-mdr/src/org/argouml/model/mdr/ModelManagementHelperMDRImpl.java,775
FUNCTION SPECIFIER public TYPE void NAME void NAME to source PARAMETER LIST string builder sb PARAMETER string builder sb TYPE string builder NAME string builder NAME sb BLOCK EXPR left to source sb CALL left to source sb NAME left to source NAME left NAME to source ARGUMENT LIST ARGUMENT EXPR sb NAME sb EXPR sb append CALL sb append NAME sb append NAME sb NAME append ARGUMENT LIST ARGUMENT EXPR EXPR identifier to source sb CALL identifier to source sb NAME identifier to source NAME identifier NAME to source ARGUMENT LIST ARGUMENT EXPR sb NAME sb public NN void NN to TO source NN root ROOT source case source to string NN builder NN root ROOT builder compound builder string sb NN left VBN to TO source NN root ROOT left case source to nmod to left source sb NN sb NN append IN root ROOT sb dep sb append identifier NN to TO source NN root ROOT identifier case source to nmod to identifier source sb NN,1,B5,ArgoUML0.34/argouml-csharp/src/org/argouml/language/csharp/importer/csparser/nodes/expressions/MemberAccessExpression.java,35
FUNCTION SPECIFIER public TYPE void NAME void NAME to source PARAMETER LIST string builder sb PARAMETER string builder sb TYPE string builder NAME string builder NAME sb BLOCK EXPR sb append CALL sb append NAME sb append NAME sb NAME append ARGUMENT LIST ARGUMENT EXPR EXPR this new line sb CALL this new line sb NAME this new line NAME this NAME new line ARGUMENT LIST ARGUMENT EXPR sb NAME sb public NN void NN to TO source NN root ROOT source case source to string NN builder NN root ROOT builder compound builder string sb NN sb NN append IN root ROOT sb dep sb append this DT new JJ line NN sb NN,1,B5,ArgoUML0.34/argouml-csharp/src/org/argouml/language/csharp/importer/csparser/statements/StatementNode.java,13
COMMENT type of knowledge that critics can deliver DECL STMT SPECIFIER public SPECIFIER static TYPE final string SPECIFIER final NAME string NAME kt correctness INIT translator localize misc knowledge correctness EXPR translator localize misc knowledge correctness CALL translator localize misc knowledge correctness NAME translator localize NAME translator NAME localize ARGUMENT LIST ARGUMENT EXPR misc knowledge correctness type of knowledge that critics can deliver root ROOT type dobj deliver type case knowledge of nmod of type knowledge ref type that nsubj deliver critics aux deliver can acl relcl type deliver public NN static JJ final JJ string NN kt NN correctness NN root ROOT correctness compound correctness kt translator NN localize VBP root ROOT localize nsubj localize translator misc NN knowledge NN correctness NN root ROOT correctness compound correctness misc compound correctness knowledge,0,N/A,ArgoUML0.34/argouml/src/argouml-app/src/org/argouml/cognitive/Critic.java,110
FUNCTION SPECIFIER public TYPE object NAME object NAME set body PARAMETER LIST object handle PARAMETER object handle TYPE object NAME object NAME handle BLOCK IF if handle instanceof expression expression handle set body body return handle CONDITION handle instanceof expression EXPR handle instanceof expression NAME handle NAME expression THEN expression handle set body body return handle BLOCK EXPR expression handle set body body NAME expression NAME handle CALL set body body NAME set body ARGUMENT LIST ARGUMENT EXPR body NAME body RETURN return handle EXPR handle NAME handle THROW throw new illegal argument exception handle handle body body EXPR new illegal argument exception handle handle body body CALL illegal argument exception handle handle body body NAME illegal argument exception ARGUMENT LIST ARGUMENT EXPR handle handle body body NAME handle NAME body public NN object NN set VBN body NN root ROOT set dobj set body object NN handle VB if IN handle VB instanceof NN expression NN expression NN handle VB set VBN body NN root ROOT set dobj set body body NN return NN handle VB throw VB new JJ illegal JJ argument NN exception NN root ROOT exception amod exception illegal compound exception argument handle VB handle VB body NN body NN,1,A3,ArgoUML0.34/argouml/src/argouml-core-model-mdr/src/org/argouml/model/mdr/DataTypesHelperMDRImpl.java,199
